TABLA,CONTEO,FECHA,FECHA_MAXIMA
CST_STD_COSTS,34098,2022-06,"2022-06-30 23:06:04"
CST_STD_COSTS,41952,2022-07,"2022-07-31 23:07:33"
CST_STD_COSTS,34847,2022-08,"2022-08-31 23:08:37"
CST_STD_COSTS,50530,2022-09,"2022-09-30 23:09:27"
CST_STD_COSTS,68236,2022-10,"2022-10-31 23:10:01"
CST_STD_COSTS,28596,2022-11,"2022-11-05 05:11:25"
EGO_ITEM_EFF_TL,48841,2022-06,"2022-06-30 22:06:38"
EGO_ITEM_EFF_TL,315842,2022-07,"2022-07-31 14:07:21"
EGO_ITEM_EFF_TL,123869,2022-08,"2022-08-31 23:08:22"
EGO_ITEM_EFF_TL,138264,2022-09,"2022-09-30 23:09:25"
EGO_ITEM_EFF_TL,205838,2022-10,"2022-10-31 23:10:57"
EGO_ITEM_EFF_TL,4292,2022-11,"2022-11-05 00:11:52"
EGP_ITEM_CLASSES_TL,1,2022-10,"2022-10-23 15:10:23"
EGP_ITEM_ORG_ASSOCIATIONS,7320,2022-06,"2022-06-30 22:06:38"
EGP_ITEM_ORG_ASSOCIATIONS,56463,2022-07,"2022-07-31 19:07:44"
EGP_ITEM_ORG_ASSOCIATIONS,99106,2022-08,"2022-08-31 23:08:22"
EGP_ITEM_ORG_ASSOCIATIONS,45504,2022-09,"2022-09-30 23:09:25"
EGP_ITEM_ORG_ASSOCIATIONS,25198,2022-10,"2022-10-31 23:10:57"
EGP_ITEM_ORG_ASSOCIATIONS,1141,2022-11,"2022-11-05 03:11:16"
EGP_SYSTEM_ITEMS,77573,2022-06,"2022-06-30 21:06:55"
EGP_SYSTEM_ITEMS,197532,2022-07,"2022-07-31 23:07:02"
EGP_SYSTEM_ITEMS,139484,2022-08,"2022-08-31 23:08:19"
EGP_SYSTEM_ITEMS,80118,2022-09,"2022-09-30 23:09:56"
EGP_SYSTEM_ITEMS,48329,2022-10,"2022-10-31 23:10:22"
EGP_SYSTEM_ITEMS,2831,2022-11,"2022-11-05 03:11:16"
EGP_SYSTEM_ITEMS_B,77573,2022-06,"2022-06-30 21:06:55"
EGP_SYSTEM_ITEMS_B,197532,2022-07,"2022-07-31 23:07:02"
EGP_SYSTEM_ITEMS_B,139484,2022-08,"2022-08-31 23:08:19"
EGP_SYSTEM_ITEMS_B,80118,2022-09,"2022-09-30 23:09:56"
EGP_SYSTEM_ITEMS_B,48329,2022-10,"2022-10-31 23:10:22"
EGP_SYSTEM_ITEMS_B,2831,2022-11,"2022-11-05 03:11:16"
HR_ALL_ORGANIZATION_UNITS_F_VL,116,2022-06,"2022-06-29 21:06:58"
HR_ALL_ORGANIZATION_UNITS_F_VL,387,2022-07,"2022-07-28 22:07:57"
HR_ALL_ORGANIZATION_UNITS_F_VL,290,2022-08,"2022-08-31 14:08:42"
HR_ALL_ORGANIZATION_UNITS_F_VL,229,2022-09,"2022-09-29 22:09:44"
HR_ALL_ORGANIZATION_UNITS_F_VL,50,2022-10,"2022-10-31 23:10:25"
HR_ALL_ORGANIZATION_UNITS_F_VL,4,2022-11,"2022-11-03 00:11:37"
HR_ORGANIZATION_UNITS_F_TL,1110,2022-06,"2022-06-29 21:06:58"
HR_ORGANIZATION_UNITS_F_TL,3840,2022-07,"2022-07-31 18:07:22"
HR_ORGANIZATION_UNITS_F_TL,2990,2022-08,"2022-08-31 14:08:42"
HR_ORGANIZATION_UNITS_F_TL,2290,2022-09,"2022-09-29 22:09:44"
HR_ORGANIZATION_UNITS_F_TL,500,2022-10,"2022-10-31 23:10:25"
